equipment_name,lubrication_point,oiling_points_count,oil_grade,oil_injection_cycle,check_cycle,oil_change_cycle,usage,notes
"Conveyor Belt (Number, Model)",Reducer,,Refer to the manual,Every week,1 week,6 months,Oil level is between the upper and lower lines of the oil gauge.,Check the oil level at any time and add oil in time.
"Conveyor Belt (Number, Model)",Head main drive roller bearing or bearing housing,,No. 3 or No. 2 lithium-based grease,Every week,Every day,12 months,1/2--2/3 of the interior cavity,"Check at any time, and oil in time."
"Conveyor Belt (Number, Model)",General roller bearing,,No. 3 or No. 2 lithium-based grease,Every week,Every day,,1/2--2/3 of the interior cavity,"Check at any time, and oil in time."
"Conveyor Belt (Number, Model)",Hydraulic Station,,Refer to the manual,Every week,Every day,12 months,Oil level is between the upper and lower lines of the oil gauge.,Check the oil level at any time and add oil in time.
"Conveyor Belt (Number, Model)",Tensioning Winch Reducer,,Refer to the manual,Every week,Every day,12 months,Oil level is between the upper and lower lines of the oil gauge.,"Without oil gauge, fill to 1/2 of the inner cavity."
"Conveyor Belt (Number, Model)",Belt Conveyor Motor Bearing,,No. 3 or No. 2 lithium-based grease,3 months,Every day,12 months,Oil level is between the upper and lower lines of the oil gauge.,"Check at any time, and oil in time."
"Conveyor Belt (Number, Model)",Tensioning Winch Motor Bearing,,No. 3 or No. 2 lithium-based grease,3 months,,12 months,1/2--2/3 of the interior cavity,"Check at any time, and oil in time."
"Conveyor Belt (Number, Model)",Hydraulic Brake,1.0,25# Transformer Oil,Every week,Every day,,30-40mm below the oil hole above,"Check at any time, and oil in time."
Scraping Conveyor,Reducer,,Refer to the manual,Every week,1 week,6 months,Oil level is between the upper and lower lines of the oil gauge.,Check the oil level at any time and add oil in time.
Scraping Conveyor,Reducer First Shaft,,No. 3 or No. 2 lithium-based grease,Every week,Every day,6 months,Inject new oil until the old oil is pushed out.,"Check at any time, and oil in time."
Scraping Conveyor,Head and tail sprocket shaft assembly of the belt conveyor (equipment number/model),,Refer to the manual,Every week,Every day,6 months,Fill up,"Check at any time, and oil in time."
Scraping Conveyor,Motor Bearing,,No. 3 or No. 2 lithium-based grease,3 months,Every day,12 months,1/2--2/3 of the interior cavity,"Check at any time, and oil in time."
Loader (Machine Number/Model),Motor Bearing,2.0,No. 3 or No. 2 lithium-based grease,3 months,Every day,12 months,1/2--2/3 of the interior cavity,"Check at any time, and oil in time."
